Word	Tag	Polarity	D(w)
appalling	a	Negative	-2.6297E-05
mindless	a	Negative	-2.61436E-05
gay	a	Negative	-2.60046E-05
free	a	Negative	-2.57911E-05
offensive	a	Negative	-2.57038E-05
basic	a	Negative	-2.56241E-05
ashamed	a	Negative	-2.54053E-05
weird	a	Negative	-2.49017E-05
incoherent	a	Negative	-2.48924E-05
amateur	a	Negative	-2.48616E-05
ridiculously	r	Negative	-2.48305E-05
less	a	Negative	-2.48237E-05
obnoxious	a	Negative	-2.46606E-05
alien	a	Negative	-2.46284E-05
anywhere	r	Negative	-2.43326E-05
downhill	r	Negative	-2.42776E-05
worthless	a	Negative	-2.41199E-05
high	a	Negative	-2.37538E-05
clearly	r	Negative	-2.37219E-05
sure	a	Negative	-2.3691E-05
watchable	a	Negative	-2.35713E-05
horrendous	a	Negative	-2.34762E-05
sloppy	a	Negative	-2.31796E-05
generic	a	Negative	-2.26872E-05
little	r	Negative	-2.18983E-05
no	r	Negative	-2.17587E-05
unintentionally	r	Negative	-2.16535E-05
apart	r	Negative	-2.16185E-05
merely	r	Negative	-2.14561E-05
stereotypical	a	Negative	-2.14157E-05
trite	a	Negative	-2.13964E-05
generous	a	Negative	-2.1339E-05
horrid	a	Negative	-2.1319E-05
repetitive	a	Negative	-2.09948E-05
fair	a	Negative	-2.09462E-05
bland	a	Negative	-2.0538E-05
implausible	a	Negative	-2.04998E-05
abysmal	a	Negative	-2.04889E-05
evil	a	Negative	-2.03169E-05
corny	a	Negative	-1.94958E-05
forward	r	Negative	-1.92634E-05
laughably	r	Negative	-1.9252E-05
probably	r	Negative	-1.91556E-05
anymore	r	Negative	-1.89525E-05
lifeless	a	Negative	-1.88718E-05
devoid	a	Negative	-1.88273E-05
illogical	a	Negative	-1.87932E-05
usually	r	Negative	-1.86605E-05
tiresome	a	Negative	-1.86172E-05
blatant	a	Negative	-1.86095E-05
loud	a	Negative	-1.83507E-05
drunk	a	Negative	-1.83241E-05
moronic	a	Negative	-1.82294E-05
impossible	a	Negative	-1.82244E-05
unimaginative	a	Negative	-1.78876E-05
virtually	r	Negative	-1.78143E-05
nonsensical	a	Negative	-1.77969E-05
unintentional	a	Negative	-1.7339E-05
hot	a	Negative	-1.71588E-05
overrated	a	Negative	-1.7034E-05
amusing	a	Negative	-1.69626E-05
apparent	a	Negative	-1.69352E-05
straight	r	Negative	-1.68276E-05
childish	a	Negative	-1.68183E-05
embarrassed	a	Negative	-1.67953E-05
gross	a	Negative	-1.6758E-05
pitiful	a	Negative	-1.65316E-05
way	r	Negative	-1.6427E-05
dire	a	Negative	-1.62138E-05
unbelievably	r	Negative	-1.61907E-05
downright	r	Negative	-1.60741E-05
half	a	Negative	-1.60449E-05
passable	a	Negative	-1.59363E-05
awake	r	Negative	-1.57452E-05
insipid	a	Negative	-1.57302E-05
randomly	r	Negative	-1.57152E-05
senseless	a	Negative	-1.55209E-05
unbearable	a	Negative	-1.54878E-05
lackluster	a	Negative	-1.54495E-05
irritating	a	Negative	-1.54488E-05
miserable	a	Negative	-1.52471E-05
dear	r	Negative	-1.50217E-05
generally	r	Negative	-1.49703E-05
awkward	a	Negative	-1.49196E-05
down	r	Negative	-1.4718E-05
literally	r	Negative	-1.46574E-05
shoddy	a	Negative	-1.46485E-05
stale	a	Negative	-1.46064E-05
right	r	Negative	-1.45609E-05
red	a	Negative	-1.44512E-05
coherent	a	Negative	-1.43605E-05
presumably	r	Negative	-1.43529E-05
over	r	Negative	-1.43473E-05
incompetent	a	Negative	-1.42297E-05
clumsy	a	Negative	-1.42006E-05
entirely	r	Negative	-1.41553E-05
juvenile	a	Negative	-1.41423E-05
rental	a	Negative	-1.41202E-05
nude	a	Negative	-1.41014E-05
banal	a	Negative	-1.40668E-05
green	a	Negative	-1.39622E-05
irrelevant	a	Negative	-1.38766E-05
blonde	a	Negative	-1.37584E-05
sure	r	Negative	-1.37081E-05
unlikeable	a	Negative	-1.36395E-05
preposterous	a	Negative	-1.33433E-05
alright	a	Negative	-1.33425E-05
dry	a	Negative	-1.33144E-05
disjointed	a	Negative	-1.32815E-05
bored	a	Negative	-1.31947E-05
derivative	a	Negative	-1.31399E-05
straight	a	Negative	-1.31353E-05
unpleasant	a	Negative	-1.3083E-05
fast	r	Negative	-1.30049E-05
bottom	a	Negative	-1.30002E-05
tasteless	a	Negative	-1.29334E-05
inexplicably	r	Negative	-1.29241E-05
such	a	Negative	-1.29168E-05
superficial	a	Negative	-1.26513E-05
reasonable	a	Negative	-1.26086E-05
dreary	a	Negative	-1.25821E-05
inconsistent	a	Negative	-1.25134E-05
blatantly	r	Negative	-1.24984E-05
hollow	a	Negative	-1.24587E-05
unsatisfying	a	Negative	-1.24496E-05
brainless	a	Negative	-1.24033E-05
worse	r	Negative	-1.23776E-05
inappropriate	a	Negative	-1.23169E-05
choppy	a	Negative	-1.23024E-05
unlikable	a	Negative	-1.22947E-05
conveniently	r	Negative	-1.22592E-05
mad	a	Negative	-1.2061E-05
acceptable	a	Negative	-1.20061E-05
potentially	r	Negative	-1.20033E-05
properly	r	Negative	-1.19974E-05
vague	a	Negative	-1.1989E-05
nearly	r	Negative	-1.19313E-05
aside	r	Negative	-1.19242E-05
repeatedly	r	Negative	-1.15875E-05
rotten	a	Negative	-1.15581E-05
sorely	r	Negative	-1.13352E-05
dismal	a	Negative	-1.11785E-05
hackneyed	a	Negative	-1.11538E-05
embarrassingly	r	Negative	-1.11418E-05
tolerable	a	Negative	-1.09568E-05
vaguely	r	Negative	-1.09072E-05
yeah	a	Negative	-1.07994E-05
normally	r	Negative	-1.07893E-05
secondly	r	Negative	-1.07251E-05
awfully	r	Negative	-1.04819E-05
unexplained	a	Negative	-1.03808E-05
artsy	a	Negative	-1.03383E-05
practically	r	Negative	-1.02518E-05
dimensional	a	Negative	-1.0224E-05
feeble	a	Negative	-1.02126E-05
topless	a	Negative	-1.01668E-05
else	a	Negative	-1.01346E-05
phony	a	Negative	-1.0115E-05
hideous	a	Negative	-1.01109E-05
plus	a	Negative	-1.00876E-05
convoluted	a	Negative	-1.00305E-05
bright	a	Negative	-9.94887E-06
overlong	a	Negative	-9.9087E-06
flimsy	a	Negative	-9.89973E-06
overly	r	Negative	-9.84837E-06
surely	r	Negative	-9.84372E-06
desperately	r	Negative	-9.83873E-06
nonsense	a	Negative	-9.74703E-06
expensive	a	Negative	-9.73617E-06
bearable	a	Negative	-9.72937E-06
confused	a	Negative	-9.69427E-06
inaccurate	a	Negative	-9.62577E-06
stiff	a	Negative	-9.57997E-06
fest	a	Negative	-9.55338E-06
plain	r	Negative	-9.53246E-06
avoid	a	Negative	-9.51314E-06
cliched	a	Negative	-9.45415E-06
damn	a	Negative	-9.44634E-06
excruciatingly	r	Negative	-9.40947E-06
exact	a	Negative	-9.40791E-06
tacky	a	Negative	-9.38414E-06
short	r	Negative	-9.34044E-06
severely	r	Negative	-9.30946E-06
whiny	a	Negative	-9.28181E-06
uninspiring	a	Negative	-9.23763E-06
formulaic	a	Negative	-9.21404E-06
video	a	Negative	-9.20385E-06
